id;pc_1;pc_2;pc_3;pc_4;pc_5;pc_6;pc_7;pc_8;pc_9;pc_10
evernote:///view/2147483647/s94/18f90dd9-e3a4-466c-858c-f10bc60ff9db/18f90dd9-e3a4-466c-858c-f10bc60ff9db/;-0.11419266418080101;0.690731018381122;-0.1986952181609261;0.29451167842383785;0.5884799923155697;0.37006626229507816;0.04763111167908251;-0.43282202277408444;0.18344020783176815;0.06420725645712332
evernote:///view/2147483647/s94/13cbd94f-e807-44cd-a02a-f6e3dfb9ef79/13cbd94f-e807-44cd-a02a-f6e3dfb9ef79/;-1.6836511365854288;0.6006026513161746;0.1375701191240612;0.27653782183294695;-0.22121428237951402;-0.25667046050649084;-0.19465755135420537;0.6253784054396239;0.012002565096542949;0.14680081641454887
evernote:///view/2147483647/s94/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/;0.30530678717437787;-0.01602005505686432;0.3702901091200166;0.17253109628908936;0.2243452498890848;-0.10754073190544154;0.5166823311974296;-0.301043429127149;0.1813759012445826;0.027283555332359263
evernote:///view/2147483647/s94/c26d7d6d-517b-41c6-aa1b-75efb1727fde/c26d7d6d-517b-41c6-aa1b-75efb1727fde/;-1.3471479314672712;0.33636632414906037;-0.13535471205070415;0.27534743491104063;0.8366600364506181;-0.225662529943577;-0.08382035685401597;0.12426181925295135;0.10222794876707403;-0.33864155544038627
evernote:///view/2147483647/s94/4ed13a1f-6fa0-420f-8ea3-d6d41725bf61/4ed13a1f-6fa0-420f-8ea3-d6d41725bf61/;-0.0741043620185607;0.5526228437213916;-0.21646741915907267;-0.07676689972481018;0.7869728873613275;0.1629713583654952;-0.13589665071097068;-0.2256459020660574;-0.13296863810644502;-0.04649107821375865
evernote:///view/2147483647/s94/0af65d51-67e7-4689-902d-8430655cb024/0af65d51-67e7-4689-902d-8430655cb024/;-0.8638627211757651;0.5308665959065691;0.13919612750408092;-0.5749667033397167;-0.3947696145340687;0.45886928500654117;-0.06589053487294191;0.14954441357368642;-0.056574783065866864;0.3527861608691088
evernote:///view/2147483647/s94/2df617b1-bea1-4293-8bdf-ec64c55dbad6/2df617b1-bea1-4293-8bdf-ec64c55dbad6/;0.31292238971521713;-0.11284148809239723;0.41510901375043596;0.14635059952343035;0.13557960755602805;0.43370749994586083;-0.004001602236502741;-0.06578950860325672;0.03999924159857774;-0.1568561922558031
evernote:///view/2147483647/s94/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/;0.07498129978656246;0.037060716421425464;0.4980929231561856;0.18134364059396427;-0.11773644678921347;0.13031065624868846;0.3114610107105438;0.15969728971315783;-0.11727451902535796;-0.15911066012556707
evernote:///view/2147483647/s94/90a915f8-e772-4659-9980-f3ab66aa6214/90a915f8-e772-4659-9980-f3ab66aa6214/;0.08361280713145872;-0.03112894798916734;0.48560992351897836;0.0802711104689072;-0.019959335253588673;0.004143792676826172;0.21640364909900223;0.14615589933647055;-0.0300363941938349;-0.02474204655782697
evernote:///view/2147483647/s94/7421fd44-2665-4515-b1d1-068630869658/7421fd44-2665-4515-b1d1-068630869658/;-1.7030529372304388;-1.0253444090629409;-0.033107662144497896;0.3928583106233945;0.05392660840176408;-0.11688605206169728;-0.3464884618551838;-0.004980476882896254;2.739087841742774E-4;0.05516066489175839
