id;pc_1;pc_2;pc_3;pc_4;pc_5;pc_6;pc_7;pc_8;pc_9
evernote:///view/2147483647/s94/18f90dd9-e3a4-466c-858c-f10bc60ff9db/18f90dd9-e3a4-466c-858c-f10bc60ff9db/;-0.06395906760971448;0.8072623031318055;-0.17784645561182627;-0.5077284177488213;0.06152375352809314;0.3835121594102393;-0.08996663949222601;0.020970210689199534;-0.15085170463743108
evernote:///view/2147483647/s94/13cbd94f-e807-44cd-a02a-f6e3dfb9ef79/13cbd94f-e807-44cd-a02a-f6e3dfb9ef79/;-1.7184497681195605;0.20502434439823555;-0.32184437518756304;0.3030211743416738;0.14356021923944187;-0.5789902422543771;0.3179199289142754;0.0046523516688679045;-0.08678801119137061
evernote:///view/2147483647/s94/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/;0.4431472196095187;-0.013750440013486855;-0.10331332810866754;0.021603222269562638;-0.508435848028638;0.21589154357933463;0.07112284331051642;-0.10199545180972752;-0.16119623629813665
evernote:///view/2147483647/s94/c26d7d6d-517b-41c6-aa1b-75efb1727fde/c26d7d6d-517b-41c6-aa1b-75efb1727fde/;-1.2985905024579412;0.17604549004003064;-0.49478632837454156;-0.7050518800694449;-0.007229349231449522;-0.046659108088273865;0.15701856683850787;-0.35682916567308653;0.041971621835089123
evernote:///view/2147483647/s94/4ed13a1f-6fa0-420f-8ea3-d6d41725bf61/4ed13a1f-6fa0-420f-8ea3-d6d41725bf61/;-0.09317460488573487;0.6791645360359486;0.021656919053022982;-0.5952017340577136;0.17549159705718648;0.1644232215220699;-0.04879489062317516;-0.180953005658728;-0.012501031257105326
evernote:///view/2147483647/s94/0af65d51-67e7-4689-902d-8430655cb024/0af65d51-67e7-4689-902d-8430655cb024/;-0.9099656820338284;0.2827735005619981;0.735013561280565;0.2544583962655868;0.24070555330800486;-0.21483481121479092;-0.28693744892538403;0.30478104658647265;-0.33790699114651435
evernote:///view/2147483647/s94/2df617b1-bea1-4293-8bdf-ec64c55dbad6/2df617b1-bea1-4293-8bdf-ec64c55dbad6/;0.4780365412783211;-0.14564691503884342;0.04743985751805845;-0.09057344647498772;0.1794283689927155;0.003636160722426947;-0.20429049494834428;-0.0594729840937772;0.059617846835060065
evernote:///view/2147483647/s94/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/;0.20492780552723566;-0.06268063949874578;-0.012565069618622204;0.2889784164608059;-0.17849709377199494;-0.27912336761578455;-0.19533115275968305;-0.011797668418235175;0.20750008953369384
evernote:///view/2147483647/s94/90a915f8-e772-4659-9980-f3ab66aa6214/90a915f8-e772-4659-9980-f3ab66aa6214/;0.2086088415259982;-0.12187309761537722;0.015531515919692155;0.23007015615319656;-0.15189454479807382;-0.226189589886749;-0.03145779248671392;0.11814645770989915;0.18896178097868863
evernote:///view/2147483647/s94/7421fd44-2665-4515-b1d1-068630869658/7421fd44-2665-4515-b1d1-068630869658/;-1.4002558053558298;-0.9351895374520258;-0.5181060241784253;-0.06481010144648165;0.3088673594817063;0.05186015563787094;-0.04316521143548066;0.06989454898367507;-0.08758355581070384
evernote:///view/2147483647/s94/18e4b6c9-8bf7-453a-a97f-1842c4c1d609/18e4b6c9-8bf7-453a-a97f-1842c4c1d609/;0.8294063088858302;0.09798835511071288;0.016061262296128573;0.15735027467462454;0.21562350122627394;-0.22097885745106854;-0.09901853020624729;-0.3041320408894251;-0.059246438315259844
evernote:///view/2147483647/s94/ccd790b2-b585-4d0e-8cc1-219015b546ab/ccd790b2-b585-4d0e-8cc1-219015b546ab/;0.36109120501355224;-0.2214610443691913;0.14730924433551518;-0.025891536897525772;-0.26309822400582117;-0.11555042362326484;-0.022150973945997326;-0.06913591194044734;0.029928378903425826
evernote:///view/2147483647/s94/902ecf4d-5c1d-44ab-8ec5-9b20fcf72802/902ecf4d-5c1d-44ab-8ec5-9b20fcf72802/;0.8296242298081073;-0.019820556563876907;0.05103152023486991;-0.0031646131978327052;0.2826855893031941;-0.1382110693334263;-0.01936747354314475;-0.13678645205659382;-0.09848001932385529
