id;pc_1;pc_2;pc_3;pc_4;pc_5;pc_6;pc_7;pc_8
evernote:///view/2147483647/s94/18f90dd9-e3a4-466c-858c-f10bc60ff9db/18f90dd9-e3a4-466c-858c-f10bc60ff9db/;-0.05489032581380119;0.8072837160412623;-0.13459251191333255;-0.5780911570437766;-0.133950874063072;0.2772788551043129;0.05974104839509324;-0.07905939059232243
evernote:///view/2147483647/s94/13cbd94f-e807-44cd-a02a-f6e3dfb9ef79/13cbd94f-e807-44cd-a02a-f6e3dfb9ef79/;-1.7326335071900767;0.2069354600670946;-0.3006882366568036;0.32640453305947714;0.364828529894502;-0.508183923608833;0.10208467729306597;-0.06989126594194141
evernote:///view/2147483647/s94/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/;0.431260639227116;-0.01371082341491243;-0.08939747058250759;0.0443940913864303;-0.5599308016254152;-0.02528353566087783;-0.002562185613385351;-0.15533149675810692
evernote:///view/2147483647/s94/c26d7d6d-517b-41c6-aa1b-75efb1727fde/c26d7d6d-517b-41c6-aa1b-75efb1727fde/;-1.3128305787778978;0.17794654356541925;-0.36302219102842753;-0.7443620864448687;-0.07680893712394063;-0.2742751570311138;-0.21550911770273173;-0.19401538488253234
evernote:///view/2147483647/s94/4ed13a1f-6fa0-420f-8ea3-d6d41725bf61/4ed13a1f-6fa0-420f-8ea3-d6d41725bf61/;-0.083539902605934;0.6791216594144482;0.0800387146533273;-0.6305089208735796;0.0470859451955607;0.08893641082069133;-0.12211350387085222;-0.11253667879971037
evernote:///view/2147483647/s94/0af65d51-67e7-4689-902d-8430655cb024/0af65d51-67e7-4689-902d-8430655cb024/;-0.9019695511824701;0.28285107922591446;0.7196185634866172;0.3853297695145862;0.41194609752660927;0.2899015127315836;0.15046556669323863;0.025304853830271333
evernote:///view/2147483647/s94/2df617b1-bea1-4293-8bdf-ec64c55dbad6/2df617b1-bea1-4293-8bdf-ec64c55dbad6/;0.46972757827156975;-0.14587737369492715;0.05027406563156703;-0.1012981530454202;0.17017771900293682;0.16102565182209347;-0.1477484686270525;0.022852247754041655
evernote:///view/2147483647/s94/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/;0.1906751246746203;-0.06247039308414444;-0.01931753027827509;0.3419327419087099;-0.03400128963098616;-0.11889743052148373;-0.30751892650880863;0.2722338728611669
evernote:///view/2147483647/s94/90a915f8-e772-4659-9980-f3ab66aa6214/90a915f8-e772-4659-9980-f3ab66aa6214/;0.19510205161199823;-0.12171232858542205;0.0109297653185181;0.27728460394404214;-0.035475537687118856;-0.15534994539414235;-0.08657775789418144;0.27900274209144504
evernote:///view/2147483647/s94/7421fd44-2665-4515-b1d1-068630869658/7421fd44-2665-4515-b1d1-068630869658/;-1.3834160734553576;-0.9342292669403609;-0.5189171356120532;-0.17658531170814484;0.23857663243609908;0.09949533387991824;0.04550947271383858;0.020283672444590617
evernote:///view/2147483647/s94/18e4b6c9-8bf7-453a-a97f-1842c4c1d609/18e4b6c9-8bf7-453a-a97f-1842c4c1d609/;0.8259977458951032;0.09734249090562455;-0.01927721071079483;0.1416073745337383;0.2845921433228423;-0.08355956488271384;-0.2903812759275703;-0.17846573507892344
evernote:///view/2147483647/s94/ccd790b2-b585-4d0e-8cc1-219015b546ab/ccd790b2-b585-4d0e-8cc1-219015b546ab/;0.34917683876166644;-0.22145521545812727;0.17413477111480816;0.04133400333490052;-0.1981601284007203;-0.14418152806086634;-0.1600618856783256;0.06007408502497008
evernote:///view/2147483647/s94/902ecf4d-5c1d-44ab-8ec5-9b20fcf72802/902ecf4d-5c1d-44ab-8ec5-9b20fcf72802/;0.8264457180684929;-0.02048089555583013;0.03009996746555399;-0.027574459759630077;0.30700473518703936;-0.041318975072142675;-0.09288729867951306;-0.1314321128824466
evernote:///view/2147483647/s94/7cbb0cd6-c8fe-494e-8daf-c86b45d20aa6/7cbb0cd6-c8fe-494e-8daf-c86b45d20aa6/;-0.17564961173272584;0.4928241583963816;0.5619343254117484;-0.22812068319145956;-0.15585440751200627;-0.2774222609968842;0.1605177073851776;0.03393100573337851
evernote:///view/2147483647/s94/8728baa0-3b47-4dfc-8f4d-046931d54934/8728baa0-3b47-4dfc-8f4d-046931d54934/;0.7500077518091477;-0.03863175494813115;-0.03165351084171614;-0.012815321715907421;0.22938597331164987;-0.1623259321161041;0.13454379581568296;-0.14397890542606748
evernote:///view/2147483647/s94/b658c774-18e2-4d89-8035-66969ae23eba/b658c774-18e2-4d89-8035-66969ae23eba/;0.31740427469760163;-0.2599763775031543;0.14643331478898977;-0.03080562390527819;-0.18972623759412008;-0.1550429295503414;0.06162424721963458;0.08370138525805063
evernote:///view/2147483647/s94/2d5220b1-959d-4d75-90bd-bfef9048b78d/2d5220b1-959d-4d75-90bd-bfef9048b78d/;0.48822675789595177;-0.18828791276246967;-0.010487999630616312;-0.03400615853093931;-0.01629362550744913;-0.20472241157192586;0.07383626781852977;-0.09360088211998197
evernote:///view/2147483647/s94/71002a5a-ed25-4e4d-b9d3-1986e52046f7/71002a5a-ed25-4e4d-b9d3-1986e52046f7/;0.8264457180684929;-0.02048089555583013;0.03009996746555399;-0.027574459759630077;0.30700473518703936;-0.041318975072142675;-0.09288729867951306;-0.1314321128824466
evernote:///view/2147483647/s94/f3520478-c33b-4e6e-b9cf-dcaa3b95b365/f3520478-c33b-4e6e-b9cf-dcaa3b95b365/;-0.5225902491894985;-0.5655560116765611;0.08341341790665405;0.04269746230509322;-0.1734586692364958;0.40391214550758636;-0.15730207837899718;-0.15782842898435986
evernote:///view/2147483647/s94/6d1616de-75c7-405f-911a-cbd6d88f657e/6d1616de-75c7-405f-911a-cbd6d88f657e/;0.5530145240365351;0.5983845454221608;-0.9653115837860143;0.377943449601859;-0.10815587689487932;0.30901557051228135;0.10847969583479061;-0.05308255638462799
evernote:///view/2147483647/s94/0a66f199-743c-4f76-a9f9-a903a2bbb3d1/0a66f199-743c-4f76-a9f9-a903a2bbb3d1/;-0.33577626644299907;1.039579536709735;-0.15494969848791604;0.07335055914592355;-0.1795939221299825;0.057620297600917775;0.20968964757496833;0.10679604642151608
evernote:///view/2147483647/s94/aaccb2ba-3635-4139-81fc-bee06c2166f8/aaccb2ba-3635-4139-81fc-bee06c2166f8/;-0.16184999219387355;0.74386286980697;0.1659436930958224;-0.1352268912899856;-0.3212898566470865;-0.06852246661541046;0.12890509354189766;0.09153228762883238
evernote:///view/2147483647/s94/9a6edc6c-4fd7-4783-bee7-23c1ff67d504/9a6edc6c-4fd7-4783-bee7-23c1ff67d504/;0.5164070377164257;0.3530595868749926;-0.7124205920602432;0.116458293114655;0.1206546222044131;0.27805933559511925;-0.12026923916429488;-0.006030338659618573
